"name","wikipedia_id"
"Roselle","Roselle_(plant)"
"Orange roughy","Orange roughy"
"Sablefish","Sablefish"
"Pink salmon","Pink_salmon"
"Chum salmon","Chum_salmon"
"Coho salmon","Coho_salmon"
"Sockeye salmon","Sockeye_salmon"
"Chinook salmon","Chinook salmon"
"Atlantic salmon","Atlantic salmon"
"Salmonberry","Salmonberry"
"Common salsify","Tragopogon porrifolius"
"Sapodilla","Sapodilla Cayes"
"Mamey sapote","Pouteria sapota"
"Spanish mackerel","Spanish mackerel"
"Pacific sardine","Pacific_sardine"
"Scallop","Scallop"
"Scup","Scup"
"Sea cucumber","Sea cucumber"
"Steller sea lion","Steller sea lion"
"Bearded seal","Bearded_seal"
"Ringed seal","Ringed seal"
"Seatrout",""
"Sesbania flower","Sesbania_bispinosa"
"American shad","American shad"
"Shark","Shark"
"Sheefish","Stenodus leucichthys"
"Sheep (Mutton, Lamb)","Sheep"
"Sheepshead","Archosargus_probatocephalus"
"Hedge mustard","Hedge_mustard"
"Skipjack tuna","Skipjack tuna"
"Snapper","Lutjanidae"
"Soursop","Soursop"
"Spelt","Spelt"
"Spirulina",""
"Squab","Squab_(food)"
"Squirrel","Squirrel"
"Strawberry guava","Strawberry_guava"
"Greater sturgeon",""
"White sucker","White_sucker"
"Sugar apple","Sugar_apple"
"Pumpkinseed sunfish","Pumpkinseed"
"Swordfish","Swordfish"
"Taro","Taro"
"Teff","Teff"
"Tilefish","Lopholatilus_chamaeleonticeps"
"Mexican groundcherry","Mexican_Groundcherry"
"Towel gourd","Luffa"
"Salmonidae (Salmon, Trout)","Salmonidae"
"Turkey","Meleagris_gallopavo"
"Cattle (Beef, Veal)","Cattle"
"Walleye","Walleye"
"Alaska pollock","Alaska pollock"
"Wasabi","Wasabi"
"Wax gourd","Wax_gourd"
"Whelk","Whelk"
"Coalfish pollock","Pollachius_virens"
"Broad whitefish","Broad whitefish"
"Whitefish","Coregonus"
"Whiting","Merlangius_merlangus"
"Wild rice","Wild_rice"
"Tea leaf willow","Salix pulchra"
"Winged bean","Winged bean"
"Yam","Yam_(vegetable)"
"Jicama","Jicama"
"Yautia","Xanthosoma sagittifolium"
"Yellowfin tuna","Yellowfin_tuna"
"Yellowtail amberjack","Yellowtail amberjack"
"Pollock","Pollock"
"Albacore tuna","Albacore_tuna"
"Gadus (Common cod)","Gadus"
"Atlantic halibut","Atlantic halibut"
"Pacific halibut","Pacific_halibut"
"Pacific salmon","Pacific_salmon"
"Smelt","Osmeridae"
"Clupeinae (Herring, Sardine, Sprat)","Clupeinae"
"Spiny lobster","Spiny lobster"
"Snow crab","Snow_crab"
"Black-eyed pea","Black-eyed pea"
"Deer","Deer"
"Macadamia nut","Macadamia_nut"
"Percoidei (Bass and others)","Percoidei"
"Perciformes (Perch-like fishes)","Perciformes"
"Arctic ground squirrel","Arctic_ground_squirrel"
"Rabbit","Rabbit"
"Domestic goat","Domestic_goat"
"Beefalo","Beefalo"
"Antelope","Antelope"
"Bivalvia (Clam, Mussel, Oyster)","Bivalvia"
"Squid","Squid"
"Shrimp","Shrimp"
